tag,fold,ablation,N_liq_logMAE,N_liq_logMAE_liq,Traj_RMSE,Traj_RMSE_continuation,Traj_RMSE_late,Traj_RMSE_liq,Traj_RMSE_stab,Traj_RMSE_nostab,Traj_RMSE_balanced,Traj_RMSE_worst,AUPRC,AUROC,Brier,ECE,Coverage_90,Calibration_Error,Physics_Violation_Rate,Traj_CRPS
grouped,1,miss_vs,0.5681247711181641,0.9648998379707336,0.09173812406517111,0.0858121439927434,0.09814766049385071,0.06450022757053375,0.09492099285125732,0.36674514412879944,0.17538878818353018,0.36674514412879944,0.9995713541622193,0.9992912827781716,0.01632544957101345,0.029677692571404707,0.8610501289367676,0.03646519581476848,0.07092198581560284,0.04605984922737642
grouped,1,miss_grainsize,0.4183041751384735,0.7106131315231323,0.08999894048808896,0.0831087004215886,0.09480846673250198,0.06394828110933304,0.09118102490901947,0.3718281686306,0.17565249154965082,0.3718281686306,0.9997165131112686,0.9995275218521144,0.03737578168511391,0.051280719825803345,0.8686476349830627,0.025265920162200934,0.0070921985815602835,0.04460495739034834
grouped,1,no_prefix,0.289032906293869,0.49100765585899353,0.09479656778841931,0.09479656778841931,0.10346593707799911,0.08024431020021439,0.08622327446937561,0.3834018111228943,0.18328979859749475,0.3834018111228943,1.0,1.0,0.015213962644338608,0.02393169275749086,0.9565331339836121,0.06251914501190185,0.0,0.04834044287336292
grouped,1,no_aux,0.5191255807876587,0.8810482621192932,0.0879995465873151,0.08089350565157462,0.09243346750736237,0.0640559270977974,0.08805710822343826,0.3632424771785736,0.17178517083326975,0.3632424771785736,0.9997114101846283,0.9995275218521142,0.028724879026412964,0.04095912616310725,0.926388680934906,0.025046439965565992,0.09929078014184398,0.04346665291828771
grouped,2,full,0.2629072964191437,0.43906369805336,0.09943776213541251,0.092538425528708,0.10592621564865112,0.10039728134870529,0.08797308802604675,0.12650246918201447,0.10495761285225551,0.12650246918201447,0.9957628136377155,0.9924139411722608,0.05765227600932121,0.06095405474184005,0.7325581312179565,0.16110101143519084,0.0,0.046960193909372096
grouped,2,wo_conformal,0.2629072964191437,0.43906369805336,0.09943776213541251,0.092538425528708,0.10592621564865112,0.10039728134870529,0.08797308802604675,0.12650246918201447,0.10495761285225551,0.12650246918201447,0.9957628136377155,0.9924139411722608,0.05765227600932121,0.06095405474184005,0.5760356187820435,0.3192284385363261,0.0,0.049434155618991296
grouped,2,gaussian_posterior,0.29187193512916565,0.48330867290496826,0.0992087319715676,0.09270330589125046,0.10661603510379791,0.10160767287015915,0.08513279259204865,0.12826262414455414,0.10500102986892064,0.12826262414455414,0.996040800246507,0.9930580405066914,0.060648709535598755,0.06397748381141725,0.7718931436538696,0.12443072398503623,0.0,0.046535582186800914
grouped,2,wo_ode,1.1107313632965088,2.111764669418335,0.14551318241937863,0.15466503693058384,0.17253613471984863,0.14726370573043823,0.12884442508220673,0.18402665853500366,0.15337826311588287,0.18402665853500366,0.9813720617679715,0.9642167036427395,0.08436581492424011,0.07782070808173194,0.8422056436538696,0.05423936049143474,0.0,0.08826103642559345
grouped,2,blackbox_raw,0.9421805143356323,1.2154080867767334,0.09880242541291992,0.11002161272904919,0.12560872733592987,0.07441139966249466,0.11502131819725037,0.10970374941825867,0.09971215575933456,0.11502131819725037,0.9976546634466809,0.9958491376225578,0.038776904344558716,0.04150404441889708,0.8620094656944275,0.030165938536326098,0.6257861635220126,0.05856883969396349
grouped,2,wo_monotone,0.2629072964191437,0.43906369805336,0.09943776213541251,0.092538425528708,0.10592621564865112,0.10039728134870529,0.08797308802604675,0.12650246918201447,0.10495761285225551,0.12650246918201447,0.9957628136377155,0.9924139411722608,0.05765227600932121,0.06095405474184005,0.7325581312179565,0.16110101143519084,0.0,0.046960193909372096
grouped,2,wo_risk_softauc,0.25478848814964294,0.43945395946502686,0.09814134279452306,0.09038363864114553,0.10405323654413223,0.10102374106645584,0.08404746651649475,0.12597575783729553,0.1036823218067487,0.12597575783729553,0.9911815518391806,0.9823946181922278,0.07181701064109802,0.0731556387088163,0.7660791873931885,0.1264898459116618,0.0,0.04573845717779502
